IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
162.159.60.150,4,4,0.00,65.62,13.67,SIN,443
162.159.13.245,4,4,0.00,69.00,13.60,SIN,443
162.159.39.149,4,4,0.00,61.90,13.60,NRT,443
162.159.43.166,4,4,0.00,69.07,13.59,SIN,443
108.162.194.50,4,4,0.00,68.06,13.58,SIN,443
162.159.38.199,4,4,0.00,65.75,13.57,NRT,443
172.64.53.27,4,4,0.00,67.70,13.56,SIN,443
198.41.211.169,4,4,0.00,68.40,13.56,SIN,443
162.159.32.66,4,4,0.00,65.23,13.54,SIN,443
162.159.58.75,4,4,0.00,69.07,13.54,SIN,443
162.159.7.125,4,4,0.00,65.88,13.52,SIN,443
162.159.45.174,4,4,0.00,65.98,13.50,NRT,443
162.159.26.89,4,4,0.00,67.60,13.48,SIN,443
162.159.3.182,4,4,0.00,65.24,13.45,SIN,443
108.162.195.5,4,4,0.00,63.61,13.44,SIN,443
108.162.198.115,4,4,0.00,57.70,13.44,NRT,443
162.159.36.42,4,4,0.00,67.56,13.43,SIN,443
162.159.34.181,4,4,0.00,65.56,13.29,SIN,443
162.159.24.248,4,4,0.00,67.90,12.83,SIN,443
162.159.10.163,4,4,0.00,62.67,3.05,SIN,443
