162.159.44.58:443#Unknown  54.62ms
172.64.52.189:443#Unknown  59.90ms
162.159.39.20:443#Unknown  60.47ms
162.159.38.122:443#Unknown  65.59ms
162.159.45.116:443#Unknown  66.68ms
108.162.198.116:443#Unknown  69.64ms
172.64.53.234:443#Unknown  71.08ms
172.64.49.127:443#Unknown  83.57ms
172.64.36.37:443#Unknown  86.71ms
104.18.47.163:443#Unknown  87.28ms
162.159.48.107:443#Unknown  87.33ms
104.18.43.19:443#Unknown  87.35ms
162.159.34.192:443#Unknown  88.78ms
172.64.148.99:443#Unknown  89.24ms
162.159.22.170:443#Unknown  89.36ms
104.18.40.70:443#Unknown  90.16ms
162.159.0.203:443#Unknown  90.35ms
162.159.56.112:443#Unknown  90.43ms
162.159.24.37:443#Unknown  90.85ms
172.64.158.0:443#Unknown  90.94ms
